  D            UP       DW      WPC     CLR     SP      Q      
  0000         0        0        0       1      000     0000
  0000         0        0        0       0      000     0001
  0000         0        0        0       0      000     0002
  0000         0        0        0       0      000     0003
  0000         0        0        0       0      000     0004
  0045         1        0        1       0      001     0045
  0000         0        0        0       0      001     0046
  0000         0        0        0       0      001     0047
  0123         0        0        1       0      001     0123
  0000         0        0        0       0      001     0124
  0000         0        0        0       0      001     0125
  0000         0        0        0       0      001     0126
  4545         1        0        1       0      010     4545
  0000         0        0        0       0      010     4546
  0000         0        0        0       0      010     4547
  0000         0        0        0       0      010     4548
  0000         0        1        0       0      001     0127
  0000         0        0        0       0      001     0128
  0000         0        0        0       0      001     0129
  0000         0        0        0       0      001     012A
  0000         0        0        0       0      001     012B
  0000         0        1        0       0      000     0005
  0000         0        0        0       0      000     0006
  0000         0        0        0       0      000     0007
  0000         0        0        0       0      000     0008
  0000         0        1        0       0      111     0001
  0000         0        0        0       0      111     0002
  0000         0        0        0       0      111     0003
  0000         0        0        0       0      111     0004
